Bolesławiecki,9.0,17.757142857142856,-8.757142857142856
Dzierżoniowski,16.0,13.174999999999999,2.825000000000001
Głogowski,13.7,14.7,-1.0
Górowski,23.3,11.285714285714286,12.014285714285714
Jaworski,18.5,18.014285714285712,0.48571428571428754
Jeleniogórski,16.6,20.3,-3.6999999999999993
Kamiennogórski,15.5,19.933333333333334,-4.433333333333334
Kłodzki,23.3,20.35,2.9499999999999993
Legnicki,18.2,14.057142857142859,4.142857142857141
Lubański,17.9,14.766666666666666,3.133333333333333
Lubiński,8.9,16.04,-7.139999999999999
Lwówecki,22.6,17.025,5.575000000000003
Milicki,14.6,9.559999999999999,5.040000000000001
Oławski,9.0,12.874999999999998,-3.8749999999999982
Oleśnicki,12.3,9.4,2.9000000000000004
Polkowicki,7.5,14.12,-6.619999999999999
Strzeliński,0.0,12.64,-12.64
Średzki,12.4,13.9,-1.5
Świdnicki,14.1,15.2,-1.0999999999999996
Trzebnicki,10.7,13.371428571428572,-2.6714285714285726
Wałbrzyski,24.7,17.479999999999997,7.220000000000002
Wołowski,17.5,14.7,2.8000000000000007
Wrocławski,4.4,12.416666666666666,-8.016666666666666
Ząbkowicki,0.0,18.3,-18.3
Zgorzelecki,12.7,15.200000000000001,-2.5000000000000018
Złotoryjski,24.6,16.98,7.620000000000001
Aleksandrowski,21.7,21.56,0.14000000000000057
Brodnicki,13.2,20.142857142857142,-6.942857142857143
Bydgoski,11.9,18.6625,-6.762500000000001
Chełmiński,20.0,17.08,2.9200000000000017
Golubsko-Dobrzyński,20.7,18.34,2.3599999999999994
Grudziądzki,20.8,15.5,5.300000000000001
Inowrocławski,19.7,18.540000000000003,1.1599999999999966
Lipnowski,23.2,20.52857142857143,2.671428571428571
Mogileński,0.0,16.619999999999997,-16.619999999999997
Nakielski,20.1,16.0,4.100000000000001
Radziejowski,22.3,19.4,2.900000000000002
Rypiński,17.6,20.04,-2.4399999999999977
Sępoleński,19.4,16.04285714285714,3.3571428571428577
Świecki,15.0,16.483333333333334,-1.4833333333333343
Toruński,17.9,19.571428571428573,-1.6714285714285744
Tucholski,18.3,15.62,2.6800000000000015
Wąbrzeski,19.8,18.52,1.2800000000000011
Włocławski,24.7,19.428571428571427,5.271428571428572
Żniński,18.9,16.080000000000002,2.8199999999999967
Bialski,13.9,12.700000000000001,1.1999999999999993
Biłgorajski,7.4,15.244444444444444,-7.844444444444443
Chełmski,16.8,15.133333333333333,1.6666666666666679
Hrubieszowski,17.6,14.4,3.200000000000001
Janowski,12.8,13.3,-0.5
Krasnostawski,15.5,12.660000000000002,2.839999999999998
Kraśnicki,13.5,13.016666666666667,0.4833333333333325
Łęczyński,8.2,15.35,-7.15
Lubartowski,15.5,11.257142857142856,4.242857142857144
Lubelski,11.2,12.077777777777776,-0.8777777777777764
Łukowski,9.9,13.583333333333334,-3.6833333333333336
Opolski,12.1,13.540000000000001,-1.4400000000000013
Parczewski,12.9,14.539999999999997,-1.639999999999997
Puławski,9.6,14.549999999999997,-4.9499999999999975
Radzyński,13.5,13.049999999999999,0.45000000000000107
Rycki,13.5,13.1,0.40000000000000036
Świdnicki,14.1,12.925,1.174999999999999
Tomaszowski,12.6,13.399999999999999,-0.7999999999999989
Włodawski,21.6,12.950000000000001,8.65
Zamojski,13.8,13.98,-0.17999999999999972
Gorzowski,8.8,17.15,-8.349999999999998
Krośnieński,15.8,11.78,4.020000000000001
Międzyrzecki,19.6,11.033333333333333,8.566666666666668
Nowosolski,20.8,13.180000000000001,7.619999999999999
Słubicki,8.6,14.4,-5.800000000000001
Strzelecko-Drezdenecki,20.8,15.216666666666667,5.583333333333334
Sulęciński,13.0,12.7,0.3000000000000007
Świebodziński,10.7,13.4,-2.700000000000001
Wschowski,13.0,13.760000000000002,-0.7600000000000016
Zielonogórski,13.5,13.028571428571428,0.47142857142857153
Żagański,20.8,12.766666666666666,8.033333333333335
Żarski,13.1,15.7,-2.5999999999999996
Bełchatowski,10.9,12.750000000000002,-1.8500000000000014
Brzeziński,12.6,10.825,1.7750000000000004
Kutnowski,15.6,16.5,-0.9000000000000004
Łaski,15.8,12.4,3.4000000000000004
Łęczycki,14.1,13.280000000000001,0.8199999999999985
"Łódzki Wschodni",0.0,12.940000000000001,-12.940000000000001
Łowicki,9.1,13.571428571428571,-4.4714285714285715
Opoczyński,13.5,17.025,-3.5249999999999986
Pabianicki,14.0,13.040000000000001,0.9599999999999991
Pajęczański,11.2,13.26,-2.0600000000000005
Piotrkowski,10.7,12.979999999999999,-2.2799999999999994
Poddębicki,13.0,13.4125,-0.41249999999999964
Radomszczański,13.9,13.91666666666667,-1.6666666666669272e-2
Rawski,7.6,10.375,-2.7750000000000004
Sieradzki,12.1,10.787499999999998,1.3125000000000018
Skierniewicki,6.8,11.316666666666665,-4.516666666666665
Tomaszowski,12.6,9.616666666666665,2.9833333333333343
Wieluński,10.9,11.342857142857142,-0.4428571428571413
Wieruszowski,8.5,9.333333333333334,-0.8333333333333339
Zduńskowolski,14.1,13.633333333333333,0.4666666666666668
Zgierski,14.8,12.559999999999999,2.240000000000002
Bocheński,9.6,12.440000000000001,-2.8400000000000016
Brzeski,18.2,12.540000000000001,5.659999999999998
Chrzanowski,13.6,10.9,2.6999999999999993
Dąbrowski,16.8,10.76,6.040000000000001
Gorlicki,12.2,13.966666666666667,-1.7666666666666675
Krakowski,8.0,11.283333333333331,-3.2833333333333314
Limanowski,15.8,13.675,2.125
Miechowski,0.0,11.757142857142858,-11.757142857142858
Myślenicki,0.0,10.900000000000002,-10.900000000000002
