Bolesławiecki,9.0,17.757142857142856,8.757142857142856,55.42857142857143,-0.6
Dzierżoniowski,16.0,13.174999999999999,2.825000000000001,55.26086956521739,-4.4
Głogowski,13.7,14.7,1.0,50.0,0.9
Górowski,23.3,11.285714285714286,12.014285714285714,53.733333333333334,-0.7
Jaworski,18.5,18.014285714285712,0.48571428571428754,53.588235294117645,-2.8
Jeleniogórski,16.6,20.3,3.6999999999999993,56.526315789473685,-4.4
Kamiennogórski,15.5,19.933333333333334,4.433333333333334,54.76470588235294,-5.0
Kłodzki,23.3,20.35,2.9499999999999993,52.6551724137931,-4.4
Legnicki,18.2,14.057142857142859,4.142857142857141,58.94117647058823,-2.5
Lubański,17.9,14.766666666666666,3.133333333333333,55.94117647058823,-3.7
Lubiński,8.9,16.04,7.139999999999999,48.69565217391305,0.3
Lwówecki,22.6,17.025,5.575000000000003,52.64705882352941,-3.7
Milicki,14.6,9.559999999999999,5.040000000000001,56.6,0.9
Oławski,9.0,12.874999999999998,3.8749999999999982,54.36842105263158,1.0
Oleśnicki,12.3,9.4,2.9000000000000004,55.608695652173914,0.3
Polkowicki,7.5,14.12,6.619999999999999,52.73684210526316,2.2
Strzeliński,0.0,12.64,12.64,51.76470588235294,-2.3
Średzki,12.4,13.9,1.5,52.88235294117647,2.5
Świdnicki,14.1,15.2,1.0999999999999996,56.10344827586207,-0.1
Trzebnicki,10.7,13.371428571428572,2.6714285714285726,52.05263157894737,0.2
Wałbrzyski,24.7,17.479999999999997,7.220000000000002,48.172413793103445,-5.0
Wołowski,17.5,14.7,2.8000000000000007,55.94117647058823,-0.8
Wrocławski,4.4,12.416666666666666,8.016666666666666,53.21739130434783,3.4
Ząbkowicki,0.0,18.3,18.3,55.1578947368421,-4.0
Zgorzelecki,12.7,15.200000000000001,2.5000000000000018,52.76190476190476,-2.5
Złotoryjski,24.6,16.98,7.620000000000001,55.1764705882353,-2.3
Aleksandrowski,21.7,21.56,0.14000000000000057,52.05882352941177,-1.5
Brodnicki,13.2,20.142857142857142,6.942857142857143,56.68421052631579,2.1
Bydgoski,11.9,18.6625,6.762500000000001,58.69565217391305,1.6
Chełmiński,20.0,17.08,2.9200000000000017,48.529411764705884,0.1
Golubsko-Dobrzyński,20.7,18.34,2.3599999999999994,52.294117647058826,-100.0
Grudziądzki,20.8,15.5,5.300000000000001,58.529411764705884,1.5
Inowrocławski,19.7,18.540000000000003,1.1599999999999966,57.310344827586206,-1.3
Lipnowski,23.2,20.52857142857143,2.671428571428571,51.89473684210526,0.0
Mogileński,0.0,16.619999999999997,16.619999999999997,50.64705882352941,-1.4
Nakielski,20.1,16.0,4.100000000000001,54.476190476190474,2.4
Radziejowski,22.3,19.4,2.900000000000002,54.8235294117647,-0.8
Rypiński,17.6,20.04,2.4399999999999977,52.294117647058826,0.1
Sępoleński,19.4,16.04285714285714,3.3571428571428577,55.88235294117647,1.5
Świecki,15.0,16.483333333333334,1.4833333333333343,53.61904761904762,1.2
Toruński,17.9,19.571428571428573,1.6714285714285744,51.76190476190476,2.7
Tucholski,18.3,15.62,2.6800000000000015,53.05882352941177,1.3
Wąbrzeski,19.8,18.52,1.2800000000000011,60.2,-0.8
Włocławski,24.7,19.428571428571427,5.271428571428572,53.19047619047619,-2.2
Żniński,18.9,16.080000000000002,2.8199999999999967,56.1578947368421,0.3
Bialski,13.9,12.700000000000001,1.1999999999999993,52.0,-2.0
Biłgorajski,7.4,15.244444444444444,7.844444444444443,54.0,-1.4
Chełmski,16.8,15.133333333333333,1.6666666666666679,54.285714285714285,-2.6
Hrubieszowski,17.6,14.4,3.200000000000001,53.05263157894737,-4.4
Janowski,12.8,13.3,0.5,52.64705882352941,-2.9
Krasnostawski,15.5,12.660000000000002,2.839999999999998,54.421052631578945,-5.4
Kraśnicki,13.5,13.016666666666667,0.4833333333333325,50.73913043478261,-2.0
Łęczyński,8.2,15.35,7.15,48.8235294117647,2.8
Lubartowski,15.5,11.257142857142856,4.242857142857144,55.80952380952381,-2.1
Lubelski,11.2,12.077777777777776,0.8777777777777764,55.2962962962963,-0.4
Łukowski,9.9,13.583333333333334,3.6833333333333336,53.17391304347826,1.0
Opolski,12.1,13.540000000000001,1.4400000000000013,52.26315789473684,-0.4
Parczewski,12.9,14.539999999999997,1.639999999999997,57.46666666666667,-2.7
Puławski,9.6,14.549999999999997,4.9499999999999975,55.43478260869565,-2.9
Radzyński,13.5,13.049999999999999,0.45000000000000107,54.36842105263158,-1.7
Rycki,13.5,13.1,0.40000000000000036,55.1578947368421,-1.3
Świdnicki,14.1,12.925,1.174999999999999,55.421052631578945,-0.1
Tomaszowski,12.6,13.399999999999999,0.7999999999999989,54.476190476190474,-3.6
Włodawski,21.6,12.950000000000001,8.65,51.529411764705884,-2.9
Zamojski,13.8,13.98,0.17999999999999972,53.78260869565217,-3.9
Gorzowski,8.8,17.15,8.349999999999998,55.526315789473685,1.8
Krośnieński,15.8,11.78,4.020000000000001,50.1764705882353,0.9
Międzyrzecki,19.6,11.033333333333333,8.566666666666668,53.705882352941174,-0.4
Nowosolski,20.8,13.180000000000001,7.619999999999999,53.61904761904762,-1.1
Słubicki,8.6,14.4,5.800000000000001,54.705882352941174,-0.6
Strzelecko-Drezdenecki,20.8,15.216666666666667,5.583333333333334,55.11764705882353,-100.0
Sulęciński,13.0,12.7,0.3000000000000007,53.86666666666667,1.0
Świebodziński,10.7,13.4,2.700000000000001,55.470588235294116,0.7
Wschowski,13.0,13.760000000000002,0.7600000000000016,54.666666666666664,1.0
