POWIATY                            POWIATS,Ludność stan                          w dniu 31 XII   Population as of December 31 ogółem          total,na 1 km2     per 1 km2,Małżeń-stwa  Marria-ges,Roz-wody Divorces,Urodzenia żywe        Live births,Zgony ogółem   Total deaths,Przyrost naturalny  Natural increase,Ogólne saldo migracji Total net migration,Przyrost roczny Annual growth,Zgony niemowląt na 1000 urodzeń żywych Infant deaths per 1000 live births
         włoszczowski ,46321,51,4.8,0.6,8.6,12.1,-3.5,-2.4,-4.3,7.5
         M. Kielce ,199870,1823,4.3,1.5,8.4,9.7,-1.3,-4.4,-5.3,5.9
         bartoszycki ,60205,46,4.3,1.6,8.4,11.5,-3.0,-6.1,-8.1,3.9
         braniewski ,42740,36,4.6,1.9,10.2,10.2,-0.1,-8.2,-6.6,6.9
         działdowski ,66485,70,5.0,1.1,10.9,9.8,1.1,-3.8,-3.4,6.9
         elbląski ,58260,41,4.0,1.7,10.5,9.6,1.0,-2.6,-2.4,14.7
         ełcki ,89477,80,4.5,2.3,8.8,8.6,0.2,0.9,2.2,10.2
         giżycki ,57616,51,4.7,2.4,8.6,9.4,-0.8,-1.6,-2.6,14.1
         gołdapski,27460,36,4.3,1.6,10.9,9.8,1.1,-4.1,-2.0,3.3
         iławski ,93134,67,5.0,2.1,10.0,8.8,1.2,-2.7,-0.7,7.5
         kętrzyński ,65509,54,4.4,1.8,8.7,11.5,-2.8,-6.6,-9.1,3.5
         lidzbarski ,42582,46,4.7,2.1,8.7,11.3,-2.6,-4.0,-8.9,2.7
         mrągowski ,51069,48,4.9,1.6,8.3,9.2,-0.8,-4.4,-4.8,7.0
         nidzicki ,33903,35,4.3,1.6,9.4,10.5,-1.1,-4.5,-6.7,0.0
         nowomiejski ,44265,64,5.4,1.5,11.3,9.2,2.1,-2.6,-0.2,4.0
         olecki,34887,40,4.3,2.2,10.9,9.4,1.5,-3.8,-2.1,18.4
         olsztyński ,122483,43,4.4,1.7,10.0,8.7,1.4,4.4,6.4,4.1
         ostródzki ,106727,60,4.7,2.0,10.0,10.2,-0.2,-3.9,-4.2,3.7
         piski ,57819,33,4.4,1.5,8.9,9.5,-0.6,-4.4,-4.6,5.8
         szczycieński ,71027,37,4.7,1.5,9.3,9.6,-0.3,-3.2,-4.0,1.5
         węgorzewski,23693,34,4.9,1.5,9.5,9.1,0.5,-4.8,-3.0,4.4
         M. Elbląg ,122899,1540,4.5,2.5,7.6,10.6,-2.9,-3.0,-6.1,5.3
         M. Olsztyn ,174675,1978,4.1,2.3,9.3,8.5,0.8,-0.6,0.2,2.5
         chodzieski ,47639,70,4.5,1.6,9.5,9.7,-0.3,-2.9,-3.7,8.8
         czarnkowsko-trzcianecki ,88081,49,4.9,1.5,10.0,9.7,0.3,-2.4,-1.0,4.5
         gnieźnieński ,144955,115,4.8,1.6,11.0,9.0,2.0,-0.1,2.0,2.5
         gostyński ,76239,94,5.4,1.4,10.8,9.8,1.1,-2.3,-0.2,6.1
         grodziski ,50971,79,5.6,1.2,12.0,8.7,3.3,-1.6,2.1,0.0
         jarociński ,71632,122,5.5,1.9,11.0,9.3,1.8,-1.4,-0.2,5.1
         kaliski ,82585,71,4.8,1.1,10.8,10.2,0.5,1.3,1.8,5.6
         kępiński ,56392,93,5.8,1.5,10.7,9.1,1.6,-2.0,-1.1,6.6
         kolski ,89077,88,4.9,1.4,9.6,10.7,-1.1,-3.1,-3.0,3.5
         koniński ,128698,82,4.9,1.2,10.4,8.9,1.5,1.2,3.6,4.5
         kościański ,78981,109,4.6,1.4,10.4,9.3,1.0,-0.9,1.8,9.8
         krotoszyński ,77958,109,5.1,1.6,11.3,9.6,1.7,-2.5,-2.3,6.8
         leszczyński ,54039,67,5.0,1.0,11.1,7.7,3.4,6.1,10.6,5.0
         międzychodzki ,37094,50,5.3,1.6,11.0,9.9,1.1,-1.8,-0.4,2.5
         nowotomyski ,74336,73,5.6,1.4,11.9,8.8,3.1,0.3,4.1,7.9
         obornicki ,59101,83,4.0,1.6,11.1,8.9,2.2,-0.4,1.4,3.1
         ostrowski ,161216,139,5.0,2.0,10.2,9.3,0.9,-0.7,0.9,3.7
         ostrzeszowski ,55454,72,5.0,1.5,10.3,10.0,0.3,-0.5,1.4,10.5
         pilski ,138218,109,4.7,1.9,9.8,8.8,0.9,-2.2,-1.4,4.4
         pleszewski ,63296,89,5.5,1.4,9.4,10.4,-0.9,-0.6,-0.9,6.7
         poznański ,352395,185,4.4,1.8,11.8,7.1,4.7,17.3,22.2,2.4
         rawicki ,60393,109,5.4,1.2,11.1,8.9,2.1,-1.8,-0.5,1.5
         słupecki ,59651,71,5.0,1.6,9.7,9.5,0.2,-2.4,-1.7,1.7
         szamotulski ,89608,80,5.2,1.4,10.5,8.7,1.8,2.2,3.3,5.3
         średzki  ,56925,91,5.3,1.5,11.8,9.3,2.5,0.6,4.8,4.5
         śremski,60725,106,5.1,1.8,11.0,9.1,1.9,-1.0,-1.1,6.0
         turecki ,84420,91,5.2,1.1,10.5,9.5,1.0,-2.5,-2.5,3.4
         wągrowiecki ,69837,67,5.1,1.4,11.3,9.5,1.8,-0.8,0.9,5.1
         wolsztyński ,56780,84,4.9,1.1,12.1,8.6,3.4,-1.5,1.5,4.4
         wrzesiński ,76481,109,4.9,1.1,9.9,9.5,0.4,-0.5,0.4,2.7
         złotowski ,70001,42,4.9,1.5,10.3,9.5,0.8,-4.3,-3.9,6.9
         M. Kalisz ,103997,1498,4.1,2.4,8.7,11.5,-2.8,-3.5,-6.5,4.4
         M. Konin ,77224,939,4.9,2.4,7.9,8.9,-1.0,-7.4,-8.0,1.6
         M. Leszno ,64589,2027,4.7,2.1,10.0,8.0,2.1,-3.8,-2.1,1.5
         M. Poznań ,548028,2092,4.4,2.1,10.3,10.5,-0.2,-4.7,-4.9,4.9
         białogardzki ,48899,58,4.4,1.9,9.0,10.5,-1.5,-5.2,-5.8,2.3
         choszczeński ,49929,38,4.8,1.3,9.8,10.2,-0.5,-4.2,-4.6,2.0
         drawski ,58403,33,4.2,2.3,9.8,10.6,-0.8,-5.5,-5.5,0.0
         goleniowski ,82270,51,5.1,1.7,9.9,9.1,0.8,1.8,2.5,7.3
         gryficki ,61672,61,4.7,1.6,9.7,10.3,-0.6,-1.5,-2.0,5.0
         gryfiński ,83880,45,4.6,1.4,10.2,10.7,-0.5,-1.6,-2.7,2.3
         kamieński ,47947,48,4.5,1.8,8.2,10.2,-2.0,-3.0,-3.8,0.0
         kołobrzeski ,79624,110,4.6,2.2,8.4,9.0,-0.6,1.2,-0.1,3.0
         koszaliński ,65981,40,4.8,2.1,9.3,8.8,0.5,1.1,2.6,8.1
         łobeski,37966,36,5.1,1.2,9.5,11.3,-1.9,-5.1,-6.4,8.3
         myśliborski ,67698,57,4.6,1.7,9.6,10.7,-1.1,-2.6,-2.2,9.2
         policki ,74483,112,4.2,2.0,10.5,6.3,4.2,11.7,15.7,5.2
         pyrzycki ,40532,56,4.5,1.6,9.7,9.9,-0.1,-2.0,-3.1,10.1
         sławieński ,57855,55,4.7,1.7,9.8,9.8,-0.1,-2.4,-1.8,3.5
         stargardzki ,120726,79,4.8,1.7,9.4,9.1,0.3,-1.4,-1.6,0.9
         szczecinecki ,79104,45,4.9,2.0,8.6,9.4,-0.8,-3.3,-3.2,7.4
         świdwiński ,48582,44,4.8,1.7,9.2,11.1,-1.9,-4.5,-6.5,4.5
         wałecki ,54597,39,4.7,2.4,8.8,10.1,-1.3,-3.0,-4.5,6.3
         M. Koszalin ,109170,1110,4.2,2.3,7.8,9.5,-1.7,0.8,-1.6,3.5
         M. Szczecin ,408172,1358,4.1,2.1,8.2,10.4,-2.2,0.4,-1.8,6.5
         M. Świnoujście ,41371,210,4.0,2.1,6.4,10.5,-4.1,2.2,-3.3,7.5
