POWIATY                            POWIATS,Ludność stan                          w dniu 31 XII   Population as of December 31 ogółem          total,na 1 km2     per 1 km2,Małżeń-stwa  Marria-ges,Roz-wody Divorces,Urodzenia żywe        Live births,Zgony ogółem   Total deaths,Przyrost naturalny  Natural increase,Ogólne saldo migracji Total net migration,Przyrost roczny Annual growth,Zgony niemowląt na 1000 urodzeń żywych Infant deaths per 1000 live births
         pajęczański ,52533,65,4.4,1.1,8.9,11.5,-2.5,-2.0,-3.2,2.1
         piotrkowski ,91618,64,4.0,1.1,10.2,11.8,-1.6,2.2,1.1,3.2
         poddębicki ,41871,48,4.1,1.7,9.3,13.1,-3.9,-0.1,-0.2,0.0
         radomszczański ,116316,81,4.3,1.4,8.4,12.0,-3.6,-2.6,-4.8,7.1
         rawski ,49577,77,5.5,1.3,10.6,10.7,-0.1,-1.7,-0.7,3.8
         sieradzki ,120057,81,4.7,1.3,9.5,11.9,-2.3,-2.4,-2.9,3.5
         skierniewicki ,38292,51,5.2,0.7,10.5,13.1,-2.6,1.1,-0.5,2.5
         tomaszowski ,119759,117,4.3,1.6,8.8,12.3,-3.6,-2.5,-5.2,4.8
         wieluński ,77720,84,4.7,1.3,9.6,11.1,-1.5,-2.5,-3.4,4.0
         wieruszowski ,42260,73,5.0,1.7,9.7,10.4,-0.7,-0.4,-0.5,4.9
         zduńskowolski ,67928,184,4.0,1.7,9.6,10.2,-0.6,-2.7,-2.9,7.7
         zgierski ,164681,193,4.2,2.2,8.7,12.0,-3.3,3.9,0.5,6.3
         M. Łódź ,711332,2426,3.9,2.2,8.0,14.4,-6.5,-2.2,-10.6,5.1
         M. Piotrków Trybunalski ,75903,1129,4.5,2.0,8.7,10.2,-1.6,-4.1,-6.6,3.0
         M. Skierniewice ,48634,1413,4.5,2.2,9.5,9.4,0.1,-3.3,-1.3,2.2
         bocheński ,104765,162,5.4,1.1,11.0,8.7,2.4,1.3,3.5,3.5
         brzeski ,92781,157,5.2,0.8,10.3,8.7,1.7,0.2,1.5,4.2
         chrzanowski ,127301,343,4.9,1.9,9.1,10.8,-1.6,-1.4,-2.7,3.4
