10,63,m. Skierniewice,1.8,9.8
12,00,WOJ. MAŁOPOLSKIE,134.8,9.6
12,00,Podregion krakowski,23.6,9.2
12,01,Bocheński,3.7,9.6
12,06,Krakowski,7.5,8.0
12,08,miechowski,1.9,9.2
12,09,myślenicki,4.7,10.5
12,14,Proszowicki,2.0,10.7
12,19,Wielicki,3.7,9.5
12,00,Podregion m. Kraków,21.9,5.2
12,61,m. Kraków,21.9,5.2
12,00,Podregion nowosądecki,40.7,13.1
12,05,Gorlicki,5.6,12.2
12,07,Limanowski,8.7,15.8
12,10,Nowosądecki,10.2,14.1
12,11,Nowotarski,8.4,12.8
12,17,Tatrzański,3.7,13.2
12,62,m. Nowy Sącz,4.1,9.1
12,00,Podregion oświęcimski,26.8,11.8
12,03,Chrzanowski,5.6,13.6
12,12,Olkuski,6.3,13.4
12,13,Oświęcimski,5.6,11.3
12,15,Suski,3.0,9.7
12,18,Wadowicki,6.2,10.9
12,00,Podregion tarnowski,21.8,11.8
12,02,Brzeski,4.0,11.4
12,04,Dąbrowski,4.0,16.8
12,16,Tarnowski,8.7,12.5
12,63,m. Tarnów,5.1,9.1
14,00,WOJ. MAZOWIECKIE,248.6,9.8
14,00,Podregion ciechanowsko-płocki,40.0,16.0
14,02,Ciechanowski,5.1,15.3
14,04,Gostyniński,3.7,20.7
14,13,Mławski,3.9,13.2
14,19,Płocki,6.7,18.6
14,20,Płoński,5.6,16.3
14,27,Sierpecki,4.2,22.5
14,37,Żuromiński,3.4,20.6
14,62,m. Płock,7.4,11.6
14,00,Podregion ostrołęcko-siedlecki,43.0,14.0
14,10,Łosicki,1.6,10.1
14,11,Makowski,4.4,23.4
14,15,Ostrołęcki,5.6,17.0
14,16,Ostrowski,4.1,14.4
14,22,Przasnyski,3.2,15.1
14,24,Pułtuski,4.4,21.9
14,26,Siedlecki,3.1,10.5
14,29,Sokołowski,2.6,10.9
14,33,Węgrowski,3.5,13.8
14,35,Wyszkowski,3.3,11.1
14,61,m. Ostrołęka,3.7,14.7
14,64,m. Siedlce,3.5,9.7
14,00,Podregion radomski,54.0,21.7
14,01,Białobrzeski,1.7,12.5
14,07,Kozienicki,4.0,15.9
14,09,Lipski,2.3,14.3
14,23,Przysuski,4.8,24.5
14,25,Radomski,14.7,27.3
14,30,Szydłowiecki,5.2,34.7
14,36,Zwoleński,2.9,19.1
14,63,m. Radom,18.4,20.3
14,00,Podregion m.st. Warszawa,50.2,4.4
14,65,m.st.Warszawa,50.2,4.4
14,00,Podregion warszawski-wschodni,35.0,13.1
14,03,Garwoliński,6.0,14.6
14,08,Legionowski,4.7,14.8
14,12,Miński,5.1,11.0
14,14,Nowodworski,3.6,12.1
14,17,Otwocki,3.8,8.5
14,34,Wołomiński,11.8,15.9
14,00,Podregion warszawski-zachodni,26.3,8.1
14,05,Grodziski,2.2,6.7
14,06,Grójecki,2.8,6.5
14,18,Piaseczyński,5.7,7.8
14,21,Pruszkowski,4.8,7.5
14,28,Sochaczewski,3.7,10.4
14,32,Warszawski  zachodni,3.0,5.8
14,38,Żyrardowski,4.2,15.6
16,00,WOJ. OPOLSKIE,41.3,11.7
16,00,Podregion nyski,19.7,15.9
